0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999996,1.00003,0.999954,1.00023,0.999633,1.00149,0.997787,1.00704,0.990194,1.02383,0.969428,1.05366,0.938789,1.06663,0.939667,1.01134,1.01292,0.93914,1.0612,0.99766,0.970099,1.05958,0.96217,0.948453,1.06626,1.00557,0.950595,1.03877,1.01355,0.934982,1.02003,1.0754,0.956442,0.921758,1.0573,1.08069
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998,1,0.999977,1.00004,0.999819,1.00028,0.998885,1.00165,0.994754,1.00732,0.981756,1.02367,0.955732,1.05198,0.934292,1.06513,0.964757,1.01587,1.04277,0.943591,1.03921,0.986014,0.946546,1.06042,0.998,0.966477,1.05254,0.978678,0.938339,1.05844,1.03873,0.933354,0.994302,1.05589,0.97698,0.960684,1.04285,1.02571,0.945519,0.980459
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997,1.00002,0.999971,1.00014,0.999786,1.00084,0.998768,1.00392,0.994519,1.01396,0.981731,1.03595,0.956836,1.06085,0.936103,1.0504,0.962747,0.982505,1.03696,0.944596,1.04425,1.02122,0.955347,1.04425,0.981878,0.946436,1.05802,1.01231,0.953304,1.03493,1.00715,0.939412,1.03185,1.06261,0.943026,0.949063,1.06843,1.03587,0.928034,0.976002,1.07339,1.0187
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998,1,0.999986,1.00002,0.999893,1.00016,0.999371,1.00092,0.997057,1.00412,0.989325,1.01407,0.971118,1.03528,0.9459,1.05917,0.942006,1.05068,0.992754,0.987494,1.05289,0.944911,1.01449,1.01107,0.945237,1.04978,1.01582,0.957302,1.0396,0.991154,0.94317,1.05041,1.03405,0.941679,1.00423,1.03977,0.962744,0.988693,1.05738,0.98492,0.933721,1.03458,1.06897,0.953006,0.929841,1.05353
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998,1.00001,0.999982,1.00008,0.999875,1.00047,0.999305,1.00221,0.996899,1.00816,0.98917,1.02302,0.971483,1.04676,0.947278,1.05992,0.942703,1.02748,0.989355,0.961763,1.04965,0.960059,1.02153,1.03848,0.948654,1.02543,1.00204,0.946705,1.04809,1.02232,0.952015,1.02646,1.0101,0.945352,1.03147,1.05316,0.944309,0.967661,1.05997,1.00585,0.948642,1.01752,1.03817,0.965415,0.973708,1.04546,1.019,0.948804
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999991,1.00001,0.999937,1.0001,0.999642,1.00052,0.99833,1.00234,0.993755,1.00833,0.981768,1.02285,0.960393,1.04573,0.942013,1.05878,0.958148,1.0293,1.01812,0.965877,1.05068,0.957158,0.990274,1.03108,0.952057,1.03371,1.03108,0.951624,1.02454,1.00539,0.947369,1.041,1.03549,0.946292,1.00409,1.03362,0.961056,1.00012,1.0563,0.969293,0.943021,1.05087,1.04773,0.939088,0.964597,1.06447,1.0247,0.934498,0.981791,1.0669
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1.00001,0.999989,1.00005,0.999927,1.00027,0.999604,1.00126,0.998229,1.00478,0.993599,1.01438,0.981799,1.03304,0.961122,1.05371,0.943233,1.05056,0.957545,1.00242,1.0144,0.951818,1.05026,0.981583,0.997479,1.04708,0.950975,1.00487,1.02042,0.951551,1.03503,1.03235,0.950863,1.01537,1.01721,0.951476,1.02606,1.04848,0.948521,0.976078,1.05178,0.992109,0.965351,1.03447,1.01114,0.948684,1.01087,1.0595,0.972119,0.937658,1.03943,1.06318,0.953711,0.935576
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999994,1.00001,0.999963,1.00006,0.999794,1.0003,0.999044,1.00134,0.996342,1.00492,0.988702,1.01442,0.972768,1.03256,0.951785,1.05259,0.945497,1.05034,0.979655,1.0052,1.03651,0.95418,1.03813,0.976722,0.970713,1.04313,0.965994,1.0141,1.04141,0.95148,1.0079,1.01945,0.953406,1.0297,1.03914,0.94965,0.998935,1.03328,0.96422,1.00232,1.05233,0.965458,0.952683,1.05228,1.02909,0.944811,0.993055,1.04833,0.986994,0.962519,1.02825,1.02698,0.961406,0.98059,1.04476,1.01617
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999993,1.00003,0.999957,1.00016,0.999772,1.00073,0.998981,1.0028,0.99622,1.00885,0.988615,1.02224,0.973052,1.04228,0.952718,1.05482,0.94617,1.03421,0.977938,0.979932,1.03344,0.953244,1.04018,1.00446,0.976618,1.04615,0.961601,0.985365,1.03448,0.961601,1.01912,1.04005,0.952309,1.00267,1.02569,0.958587,1.01784,1.0466,0.953326,0.977861,1.04696,0.987876,0.974328,1.03927,0.99688,0.947553,1.0285,1.05292,0.954237,0.954487,1.05504,1.03517,0.941214,0.974508,1.05984,1.01861,0.939488,0.984316
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997,1.00001,0.999978,1.00003,0.999881,1.00017,0.999449,1.00077,0.997853,1.00291,0.993076,1.00896,0.981968,1.0221,0.963596,1.04155,0.94739,1.05395,0.956301,1.03501,1.00249,0.982877,1.04518,0.953502,1.01889,0.99901,0.958987,1.04567,0.984562,0.993918,1.04507,0.957619,0.991185,1.03132,0.962484,1.01648,1.04244,0.953797,0.991156,1.03571,0.969886,0.999467,1.0485,0.966786,0.958609,1.04967,1.01815,0.952942,1.00891,1.0318,0.968572,0.9882,1.04629,0.99277,0.945885,1.02251,1.05721,0.966556,0.941935,1.04047,1.05866,0.955803
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999996,1.00002,0.999975,1.00009,0.999868,1.00042,0.99941,1.00165,0.997767,1.00541,0.992966,1.01453,0.982017,1.0309,0.964127,1.04879,0.948283,1.04917,0.956189,1.01372,1.00013,0.963953,1.04346,0.964488,1.02261,1.02408,0.962619,1.03649,0.978277,0.969896,1.04211,0.976088,1.00181,1.04362,0.957682,0.989535,1.03352,0.967456,1.00771,1.04549,0.958886,0.975807,1.04469,0.988911,0.977447,1.03896,0.99119,0.950652,1.03489,1.04334,0.950953,0.972582,1.05155,1.00839,0.95388,1.00916,1.03703,0.976907,0.97233,1.03304,1.02019,0.960553,0.984177,1.04285
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998,1,0.999987,1.00002,0.999931,1.0001,0.999681,1.00045,0.998738,1.00172,0.995786,1.00551,0.988346,1.01455,0.974072,1.03054,0.955908,1.04798,0.948698,1.04883,0.972875,1.01534,1.02247,0.966319,1.04342,0.962802,0.997527,1.01931,0.956674,1.03898,1.00435,0.976491,1.04144,0.969488,0.976491,1.03914,0.974708,1.0021,1.04358,0.96006,0.982319,1.03877,0.977431,0.993719,1.04488,0.970781,0.961187,1.04651,1.01344,0.958744,1.01598,1.02091,0.961767,1.00407,1.04911,0.974028,0.950207,1.04137,1.04386,0.949784,0.964939,1.0542,1.02629,0.944543,0.980623,1.05587,1.01536,0.943283
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999998,1.00001,0.999985,1.00005,0.999924,1.00024,0.999657,1.00097,0.99868,1.00328,0.99569,1.00931,0.988296,1.02155,0.974302,1.03904,0.956595,1.05086,0.949287,1.03715,0.971952,0.992755,1.02007,0.956971,1.04337,0.982273,1.00187,1.03684,0.95763,1.02051,0.997653,0.960895,1.04218,0.993137,0.98531,1.04197,0.967278,0.977448,1.03901,0.978327,0.996506,1.04355,0.965791,0.97185,1.04354,0.9931,0.976802,1.03634,0.990641,0.953955,1.03591,1.03617,0.952703,0.985103,1.04367,0.991331,0.969808,1.02842,1.01282,0.958029,1.00402,1.04962,0.981979,0.946995,1.02847,1.05405,0.964417,0.945598,1.03986,1.05519
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999992,1.00001,0.99996,1.00006,0.999814,1.00026,0.999257,1.00102,0.997447,1.00337,0.992592,1.00938,0.982228,1.02142,0.965985,1.0385,0.951409,1.05017,0.956196,1.0375,0.992475,0.994814,1.03611,0.958203,1.03259,0.979216,0.978609,1.03369,0.963477,1.02502,1.02173,0.964714,1.03118,0.985349,0.965921,1.0415,0.989224,0.987914,1.04134,0.969028,0.973805,1.04082,0.98658,0.986435,1.04077,0.976633,0.961653,1.0434,1.01297,0.961791,1.01781,1.01537,0.960437,1.01211,1.04659,0.965922,0.959433,1.04613,1.02661,0.951368,0.990068,1.04439,0.994199,0.963287,1.01873,1.02833,0.971648,0.978887,1.03491,1.01616,0.961135,0.985908
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1.00001,0.999991,1.00003,0.999955,1.00014,0.9998,1.00057,0.999219,1.00198,0.997374,1.00588,0.992512,1.01456,0.982283,1.02924,0.966395,1.04513,0.952098,1.04742,0.956278,1.02046,0.990931,0.975067,1.03427,0.95959,1.03411,1.00233,0.98254,1.04071,0.96192,1.0017,1.01595,0.95967,1.03488,1.01017,0.972013,1.03488,0.980411,0.968028,1.04082,0.990809,0.985267,1.03966,0.974422,0.967476,1.04219,0.999328,0.973996,1.03228,0.993288,0.956573,1.03435,1.03218,0.955416,0.992057,1.03694,0.982346,0.981912,1.03666,0.996039,0.953791,1.02339,1.04725,0.962498,0.95747,1.04608,1.035,0.949678,0.97295,1.05187,1.02029,0.947738,0.984321,1.05266,1.01376
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999995,1.00001,0.999976,1.00003,0.999891,1.00015,0.999561,1.0006,0.998458,1.00205,0.995346,1.00596,0.988139,1.01456,0.975141,1.02895,0.95901,1.0445,0.951473,1.04706,0.969187,1.02145,1.01171,0.977053,1.04126,0.959436,1.01569,0.998717,0.965859,1.03968,0.977348,1.00704,1.03359,0.960443,1.01618,1.00261,0.961105,1.03785,1.00444,0.975652,1.03517,0.980544,0.966962,1.04061,0.99691,0.978751,1.03547,0.984052,0.961246,1.03999,1.01522,0.962817,1.01646,1.01378,0.961473,1.01509,1.04321,0.963436,0.967528,1.045,1.01314,0.958807,1.00778,1.0293,0.974462,0.986005,1.03817,0.998838,0.954267,1.01414,1.04942,0.975811,0.949264,1.03136,1.05106,0.963993,0.948569,1.03849
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999995,1.00002,0.999974,1.00008,0.999883,1.00034,0.999537,1.0012,0.998405,1.00368,0.995269,1.00962,0.98811,1.02094,0.975332,1.03657,0.959544,1.04769,0.95198,1.03836,0.968678,1.00175,1.0099,0.963701,1.04041,0.970506,1.01834,1.02027,0.968533,1.03558,0.973913,0.983951,1.02973,0.966096,1.02176,1.02443,0.963981,1.02316,0.995544,0.962725,1.03816,1.00393,0.975276,1.03318,0.984738,0.963939,1.0396,1.00681,0.970293,1.02693,0.998058,0.958743,1.03128,1.03077,0.957833,0.994811,1.03268,0.978553,0.989328,1.03906,0.986367,0.955793,1.03275,1.03859,0.956498,0.973704,1.04618,1.01148,0.957044,1.00282,1.03645,0.985074,0.971055,1.02427,1.02206,0.969059,0.983168,1.03528,1.01385,0.962409
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999997,1,0.999986,1.00002,0.999936,1.00009,0.999741,1.00036,0.999071,1.00124,0.997101,1.00375,0.992235,1.00967,0.982504,1.02082,0.967862,1.03614,0.954559,1.04712,0.956794,1.03848,0.98586,1.00321,1.02722,0.965133,1.03752,0.969053,0.996735,1.01697,0.961464,1.03668,0.994961,0.988914,1.03797,0.964098,0.999222,1.01833,0.962796,1.02863,1.01833,0.967032,1.02528,0.993757,0.963008,1.03731,1.00769,0.971787,1.02852,0.992761,0.961061,1.03573,1.01912,0.962764,1.01298,1.0149,0.963637,1.01485,1.04051,0.963639,0.972921,1.04231,1.00453,0.966219,1.01811,1.01648,0.965122,1.00327,1.04364,0.979146,0.9549,1.03402,1.04141,0.957559,0.965051,1.04694,1.02775,0.951194,0.978758,1.04932,1.01633,0.950481,0.986466,1.05011
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999,1,0.999997,1.00001,0.999985,1.00005,0.999931,1.0002,0.999725,1.00072,0.999034,1.00228,0.997037,1.00625,0.992175,1.01452,0.982559,1.0279,0.968192,1.04226,0.955112,1.04566,0.956956,1.02464,0.984821,0.984198,1.02557,0.96042,1.03786,0.986853,0.999827,1.03248,0.962396,1.02319,0.990587,0.970736,1.03656,0.97862,1.00541,1.03358,0.962455,1.00851,1.01057,0.962499,1.03095,1.01628,0.967875,1.02404,0.996223,0.962311,1.03502,1.01476,0.966781,1.02026,1.00424,0.96104,1.02698,1.03111,0.959875,0.994599,1.03072,0.977934,0.992892,1.03885,0.981675,0.959375,1.03625,1.02989,0.957061,0.987702,1.03934,0.993462,0.971159,1.02279,1.01521,0.965261,0.998576,1.04228,0.98929,0.95374,1.02042,1.04788,0.972393,0.951685,1.03254,1.04849,0.964476,0.950959
